obs,tipo,fecha,track,comercial,descarte,total,year,viaje,lance,mes,dia
DL,Pesca de Merluza,2016-03-13T00:00:00Z,13032016/DL/05/10,40,80,120,2016,NA,NA,3,13
DL,Pesca de Merluza,2016-03-13T00:00:00Z,13032016/DL/05/12,440,200,640,2016,NA,NA,3,13
DL,Pesca de Merluza,2016-03-13T00:00:00Z,13032016/DL/05/13,45,35,80,2016,NA,NA,3,13
DL,Pesca de Merluza,2016-03-14T00:00:00Z,14032016/DL/05/14,10,7,17,2016,NA,NA,3,14
DL,Pesca de Merluza,2016-03-14T00:00:00Z,14032016/DL/05/15,425,375,800,2016,NA,NA,3,14
DL,Pesca de Merluza,2016-03-14T00:00:00Z,14032016/DL/05/16,150,100,250,2016,NA,NA,3,14
DL,Pesca de Merluza,2016-03-15T00:00:00Z,15032016/DL/05/17,80,40,120,2016,NA,NA,3,15
DL,Pesca de Merluza,2016-03-15T00:00:00Z,15032016/DL/05/18,80,10,90,2016,NA,NA,3,15
DL,Pesca de Merluza,2016-03-16T00:00:00Z,16032016/DL/05/19,25,5,30,2016,NA,NA,3,16
DL,Pesca de Merluza,2016-03-16T00:00:00Z,16032016/DL/05/20,40,25,65,2016,NA,NA,3,16
DL,Pesca de Merluza,2016-03-16T00:00:00Z,16032016/DL/05/21,30,0,30,2016,NA,NA,3,16
JP,Merluza,2017-02-11T00:00:00Z,NA,700,300,1000,2017,NA,NA,2,11
JP,Merluza,2017-02-15T00:00:00Z,NA,1300,700,2000,2017,NA,NA,2,15
JP,Merluza,2017-02-16T00:00:00Z,NA,1200,800,2000,2017,NA,NA,2,16
JP,Merluza,2017-02-21T00:00:00Z,NA,550,200,750,2017,NA,NA,2,21
JP,Merluza,2017-02-23T00:00:00Z,NA,NA,NA,0,2017,NA,NA,2,23
JP,Merluza,2017-03-14T00:00:00Z,NA,100,30,130,2017,NA,NA,3,14
JP,Merluza,2017-02-09T00:00:00Z,NA,1300,400,1700,2017,NA,NA,2,9
JP,Merluza,2017-02-03T00:00:00Z,NA,12000,NA,12000,2017,NA,NA,2,3
JP,Merluza,2017-01-31T00:00:00Z,NA,1300,NA,1300,2017,NA,NA,1,31
JP,Merluza,2017-02-07T00:00:00Z,NA,3100,500,3600,2017,NA,NA,2,7
JP,Merluza,2017-02-08T00:00:00Z,NA,650,500,1150,2017,NA,NA,2,8
JP,Merluza,2017-02-15T00:00:00Z,NA,100,100,200,2017,NA,NA,2,15
JP,Merluza,2017-01-31T00:00:00Z,NA,2800,NA,2800,2017,NA,NA,1,31
JP,Merluza,2017-02-01T00:00:00Z,NA,500,NA,500,2017,NA,NA,2,1
JP,Merluza,2017-02-02T00:00:00Z,NA,1400,NA,1400,2017,NA,NA,2,2
JP,Merluza,2017-02-22T00:00:00Z,NA,700,200,900,2017,NA,NA,2,22
JP,Merluza,2017-01-31T00:00:00Z,NA,300,NA,300,2017,NA,NA,1,31
JP,Merluza,2017-02-01T00:00:00Z,NA,800,NA,800,2017,NA,NA,2,1
JP,Merluza,2017-02-02T00:00:00Z,NA,2450,NA,2450,2017,NA,NA,2,2
JP,Merluza,2017-02-02T00:00:00Z,NA,2350,NA,2350,2017,NA,NA,2,2
JP,Merluza,2017-02-08T00:00:00Z,NA,3000,1000,4000,2017,NA,NA,2,8
JP,Merluza,2017-02-10T00:00:00Z,NA,750,80,830,2017,NA,NA,2,10
JP,Merluza,2017-02-21T00:00:00Z,NA,850,200,1050,2017,NA,NA,2,21
JP,Merluza,2017-02-23T00:00:00Z,NA,350,100,450,2017,NA,NA,2,23
JP,Merluza,2017-02-24T00:00:00Z,NA,1500,400,1900,2017,NA,NA,2,24
CGP,Merluza,2017-02-05T00:00:00Z,NA,1800,800,2600,2017,NA,NA,2,5
JP,Merluza,2017-02-24T00:00:00Z,NA,1550,500,2050,2017,NA,NA,2,24
CGP,Merluza,2017-02-15T00:00:00Z,NA,350,200,550,2017,NA,NA,2,15
CGP,Merluza,2017-02-14T00:00:00Z,NA,300,140,440,2017,NA,NA,2,14
CGP,Merluza,2017-02-15T00:00:00Z,NA,1250,500,1750,2017,NA,NA,2,15
CGP,Merluza,2017-03-04T00:00:00Z,NA,130,70,200,2017,NA,NA,3,4
CGP,Merluza,2017-01-31T00:00:00Z,NA,495,110,605,2017,NA,NA,1,31
CGP,Merluza,2017-02-06T00:00:00Z,NA,3500,2000,5500,2017,NA,NA,2,6
JP,Merluza,2017-02-06T00:00:00Z,NA,100,100,200,2017,NA,NA,2,6
JP,Merluza,2017-02-06T00:00:00Z,NA,500,50,550,2017,NA,NA,2,6
JP,Merluza,2017-02-06T00:00:00Z,NA,400,100,500,2017,NA,NA,2,6
JP,Merluza,2017-02-07T00:00:00Z,NA,1800,1000,2800,2017,NA,NA,2,7
JP,Merluza,2017-02-11T00:00:00Z,NA,1000,400,1400,2017,NA,NA,2,11
JP,Merluza,2017-02-16T00:00:00Z,NA,0,0,0,2017,NA,NA,2,16
JP,Merluza,2017-02-22T00:00:00Z,NA,1500,400,1900,2017,NA,NA,2,22
JP,Merluza,2017-03-04T00:00:00Z,NA,450,300,750,2017,NA,NA,3,4
JP,Merluza,2017-03-04T00:00:00Z,NA,20,5,25,2017,NA,NA,3,4
JP,Merluza,2017-03-05T00:00:00Z,NA,350,100,450,2017,NA,NA,3,5
CGP,Merluza,2017-02-21T00:00:00Z,NA,50,20,70,2017,NA,NA,2,21
CGP,Merluza,2017-02-01T00:00:00Z,NA,1500,700,2200,2017,NA,NA,2,1
CGP,Merluza,2017-02-02T00:00:00Z,NA,1500,700,2200,2017,NA,NA,2,2
CGP,Merluza,2017-02-20T00:00:00Z,NA,750,300,1050,2017,NA,NA,2,20
CGP,Merluza,2017-02-16T00:00:00Z,NA,450,400,850,2017,NA,NA,2,16
CGP,Merluza,2017-02-06T00:00:00Z,NA,1500,700,2200,2017,NA,NA,2,6
CGP,Merluza,2017-02-04T00:00:00Z,NA,950,400,1350,2017,NA,NA,2,4
CGP,Merluza,2017-02-08T00:00:00Z,NA,1300,700,2000,2017,NA,NA,2,8
CGP,Merluza,2017-01-31T00:00:00Z,NA,650,180,830,2017,NA,NA,1,31
CGP,Merluza,2017-01-31T00:00:00Z,NA,6500,2500,9000,2017,NA,NA,1,31
CGP,Merluza,2017-02-02T00:00:00Z,NA,550,150,700,2017,NA,NA,2,2
CGP,Merluza,2017-02-07T00:00:00Z,NA,500,350,850,2017,NA,NA,2,7
CGP,Merluza,2017-02-07T00:00:00Z,NA,1000,500,1500,2017,NA,NA,2,7
CGP,Merluza,2017-02-05T00:00:00Z,NA,1600,600,2200,2017,NA,NA,2,5
JP,Merluza,2017-02-09T00:00:00Z,NA,1250,400,1650,2017,NA,NA,2,9
JP,Merluza,2017-03-05T00:00:00Z,NA,50,15,65,2017,NA,NA,3,5
JP,Merluza,2017-03-14T00:00:00Z,NA,180,50,230,2017,NA,NA,3,14
CGP,Merluza,2017-02-19T00:00:00Z,NA,15,10,25,2017,NA,NA,2,19
CGP,Merluza,2017-03-05T00:00:00Z,NA,500,200,700,2017,NA,NA,3,5
CGP,Merluza,2017-02-04T00:00:00Z,NA,1200,500,1700,2017,NA,NA,2,4
CGP,Merluza,2017-02-20T00:00:00Z,NA,60,30,90,2017,NA,NA,2,20
CGP,Merluza,2017-03-05T00:00:00Z,NA,600,350,950,2017,NA,NA,3,5
CGP,Merluza,2017-02-01T00:00:00Z,NA,400,80,480,2017,NA,NA,2,1
CGP,Merluza,2017-02-08T00:00:00Z,NA,750,300,1050,2017,NA,NA,2,8
CGP,Merluza,2017-02-14T00:00:00Z,NA,100,50,150,2017,NA,NA,2,14
CGP,Merluza,2017-03-04T00:00:00Z,NA,175,80,255,2017,NA,NA,3,4
CGP,Merluza,2017-03-15T00:00:00Z,NA,80,40,120,2017,NA,NA,3,15
CGP,Merluza,2017-03-17T00:00:00Z,NA,300,160,460,2017,NA,NA,3,17
CGP,Merluza,2017-02-02T00:00:00Z,NA,1850,650,2500,2017,NA,NA,2,2
CGP,Merluza,2017-02-04T00:00:00Z,NA,70,90,160,2017,NA,NA,2,4
CGP,Merluza,2017-02-05T00:00:00Z,NA,500,350,850,2017,NA,NA,2,5
CGP,Merluza,2017-02-21T00:00:00Z,NA,350,150,500,2017,NA,NA,2,21
CGP,Merluza,2017-03-04T00:00:00Z,NA,100,60,160,2017,NA,NA,3,4
CGP,Merluza,2017-03-18T00:00:00Z,NA,350,150,500,2017,NA,NA,3,18
CGP,Merluza,2017-03-15T00:00:00Z,NA,50,30,80,2017,NA,NA,3,15
CGP,Merluza,2017-03-16T00:00:00Z,NA,100,60,160,2017,NA,NA,3,16
CGP,Merluza,2017-03-17T00:00:00Z,NA,150,90,240,2017,NA,NA,3,17
CGP,Merluza,2017-02-07T00:00:00Z,NA,0,0,0,2017,NA,NA,2,7
LH,Merluza,2017-01-31T00:00:00Z,NA,1570,1046.6,2616.6,2017,NA,NA,1,31
LH,Merluza,2017-01-31T00:00:00Z,NA,1036,414,1450,2017,NA,NA,1,31
LH,Merluza,2017-01-31T00:00:00Z,NA,9000,3600,12600,2017,NA,NA,1,31
LH,Merluza,2017-02-01T00:00:00Z,NA,765,306,1071,2017,NA,NA,2,1
LH,Merluza,2017-02-01T00:00:00Z,NA,532,219,751,2017,NA,NA,2,1
LH,Merluza,2017-02-01T00:00:00Z,NA,6885,2754,9639,2017,NA,NA,2,1
LH,Merluza,2017-02-05T00:00:00Z,NA,1400,790,2190,2017,NA,NA,2,5
LH,Merluza,2017-02-05T00:00:00Z,NA,8892,3568,12460,2017,NA,NA,2,5
LH,Merluza,2017-02-06T00:00:00Z,NA,9120,3648,12768,2017,NA,NA,2,6
LH,Merluza,2017-02-06T00:00:00Z,NA,5548,2219,7767,2017,NA,NA,2,6
LH,Merluza,2017-02-06T00:00:00Z,NA,6840,2736,9576,2017,NA,NA,2,6
LH,Merluza,2017-02-09T00:00:00Z,NA,375,150,525,2017,NA,NA,2,9
LH,Merluza,2017-02-09T00:00:00Z,NA,975,390,1365,2017,NA,NA,2,9
LH,Merluza,2017-02-10T00:00:00Z,NA,225,90,315,2017,NA,NA,2,10
LH,Merluza,2017-02-10T00:00:00Z,NA,1875,750,2625,2017,NA,NA,2,10
LH,Merluza,2017-02-11T00:00:00Z,NA,375,150,525,2017,NA,NA,2,11
LH,Merluza,2017-02-11T00:00:00Z,NA,450,180,630,2017,NA,NA,2,11
LH,Merluza,2017-02-11T00:00:00Z,NA,1800,720,2520,2017,NA,NA,2,11
LH,Merluza,2017-02-14T00:00:00Z,NA,360,144,504,2017,NA,NA,2,14
LH,Merluza,2017-02-14T00:00:00Z,NA,2005,810,2815,2017,NA,NA,2,14
LH,Merluza,2017-02-15T00:00:00Z,NA,1350,540,1890,2017,NA,NA,2,15
LH,Merluza,2017-02-16T00:00:00Z,NA,600,240,840,2017,NA,NA,2,16
LH,Merluza,2017-02-16T00:00:00Z,NA,750,300,1050,2017,NA,NA,2,16
CGP,Merluza,2017-02-16T00:00:00Z,NA,700,400,1100,2017,NA,NA,2,16
LH,Merluza,2017-02-25T00:00:00Z,NA,650,260,910,2017,NA,NA,2,25
LH,Merluza,2017-03-03T00:00:00Z,NA,255,102,357,2017,NA,NA,3,3
LH,Merluza,2017-03-03T00:00:00Z,NA,420,168,588,2017,NA,NA,3,3
LH,Merluza,2017-03-04T00:00:00Z,NA,390,156,546,2017,NA,NA,3,4
LH,Merluza,2017-02-26T00:00:00Z,NA,1860,744,2604,2017,NA,NA,2,26
LH,Merluza,2017-02-26T00:00:00Z,NA,585,234,819,2017,NA,NA,2,26
LH,Merluza,2017-02-27T00:00:00Z,NA,360,144,504,2017,NA,NA,2,27
LH,Merluza,2017-02-27T00:00:00Z,NA,660,264,924,2017,NA,NA,2,27
LH,Merluza,2017-02-27T00:00:00Z,NA,585,234,819,2017,NA,NA,2,27
LH,Merluza,2017-02-28T00:00:00Z,NA,1065,426,1491,2017,NA,NA,2,28
LH,Merluza,2017-02-28T00:00:00Z,NA,570,228,798,2017,NA,NA,2,28
LH,Merluza,2017-03-01T00:00:00Z,NA,285,114,399,2017,NA,NA,3,1
CGP,Merluza,2017-02-06T00:00:00Z,NA,500,200,700,2017,NA,NA,2,6
JP,Merluza,2017-02-01T00:00:00Z,NA,200,NA,200,2017,NA,NA,2,1
JP,Merluza,2017-02-10T00:00:00Z,NA,140,60,200,2017,NA,NA,2,10
JP,Merluza,2017-02-23T00:00:00Z,NA,100,50,150,2017,NA,NA,2,23
JP,Merluza,2017-03-13T00:00:00Z,NA,180,100,280,2017,NA,NA,3,13
JP,Merluza,2017-03-13T00:00:00Z,NA,0,0,0,2017,NA,NA,3,13
CGP,Merluza,2017-02-20T00:00:00Z,NA,200,120,320,2017,NA,NA,2,20
CGP,Merluza,2017-03-15T00:00:00Z,NA,650,300,950,2017,NA,NA,3,15
CGP,Merluza,2017-02-19T00:00:00Z,NA,25,13,38,2017,NA,NA,2,19
CGP,Merluza,2017-02-14T00:00:00Z,NA,180,80,260,2017,NA,NA,2,14
CGP,Merluza,2017-02-15T00:00:00Z,NA,130,70,200,2017,NA,NA,2,15
CGP,Merluza,2017-03-06T00:00:00Z,NA,250,100,350,2017,NA,NA,3,6
CGP,Merluza,2017-03-06T00:00:00Z,NA,500,200,700,2017,NA,NA,3,6
CGP,Merluza,2017-03-19T00:00:00Z,NA,140,70,210,2017,NA,NA,3,19
CGP,Merluza,2017-03-16T00:00:00Z,NA,800,500,1300,2017,NA,NA,3,16
CGP,Merluza,2017-03-16T00:00:00Z,NA,20,10,30,2017,NA,NA,3,16
CGP,Merluza,2017-02-09T00:00:00Z,NA,1200,600,1800,2017,NA,NA,2,9
CGP,Merluza,2017-02-15T00:00:00Z,NA,175,80,255,2017,NA,NA,2,15
CGP,Merluza,2017-03-19T00:00:00Z,NA,150,80,230,2017,NA,NA,3,19
CGP,Merluza,2017-03-17T00:00:00Z,NA,150,80,230,2017,NA,NA,3,17
CGP,Merluza,2017-02-08T00:00:00Z,NA,1200,600,1800,2017,NA,NA,2,8
CGP,Merluza,2017-02-05T00:00:00Z,NA,600,250,850,2017,NA,NA,2,5
CGP,Merluza,2017-03-05T00:00:00Z,NA,200,60,260,2017,NA,NA,3,5
CGP,Merluza,2017-03-19T00:00:00Z,NA,60,40,100,2017,NA,NA,3,19
CGP,Merluza,2017-02-01T00:00:00Z,NA,250,70,320,2017,NA,NA,2,1
CGP,Merluza,2017-02-09T00:00:00Z,NA,1000,700,1700,2017,NA,NA,2,9
CGP,Merluza,2017-02-16T00:00:00Z,NA,360,150,510,2017,NA,NA,2,16
CGP,Merluza,2017-02-19T00:00:00Z,NA,40,30,70,2017,NA,NA,2,19
EA,Merluza,2017-02-03T00:00:00Z,NA,2500,1800,4300,2017,NA,NA,2,3
EA,Merluza,2017-02-03T00:00:00Z,NA,3000,2300,5300,2017,NA,NA,2,3
EA,Merluza,2017-02-03T00:00:00Z,NA,1000,500,1500,2017,NA,NA,2,3
EA,Merluza,2017-02-04T00:00:00Z,NA,560,400,960,2017,NA,NA,2,4
EA,Merluza,2017-02-04T00:00:00Z,NA,2800,1500,4300,2017,NA,NA,2,4
EA,Merluza,2017-02-04T00:00:00Z,NA,10500,4000,14500,2017,NA,NA,2,4
EA,Merluza,2017-02-08T00:00:00Z,NA,40,30,70,2017,NA,NA,2,8
EA,Merluza,2017-02-11T00:00:00Z,NA,140,100,240,2017,NA,NA,2,11
EA,Merluza,2017-02-11T00:00:00Z,NA,2800,1200,4000,2017,NA,NA,2,11
EA,Merluza,2017-02-11T00:00:00Z,NA,0,0,0,2017,NA,NA,2,11
EA,Merluza,2017-02-08T00:00:00Z,NA,100,50,150,2017,NA,NA,2,8
EA,Merluza,2017-02-08T00:00:00Z,NA,700,500,1200,2017,NA,NA,2,8
EA,Merluza,2017-02-09T00:00:00Z,NA,4900,3500,8400,2017,NA,NA,2,9
EA,Merluza,2017-02-09T00:00:00Z,NA,350,250,600,2017,NA,NA,2,9
EA,Merluza,2017-02-09T00:00:00Z,NA,210,120,330,2017,NA,NA,2,9
EA,Merluza,2017-02-10T00:00:00Z,NA,140,100,240,2017,NA,NA,2,10
EA,Merluza,2017-02-10T00:00:00Z,NA,420,200,620,2017,NA,NA,2,10
EA,Merluza,2017-02-10T00:00:00Z,NA,280,180,460,2017,NA,NA,2,10
EA,Merluza,2017-02-15T00:00:00Z,NA,560,300,860,2017,NA,NA,2,15
EA,Merluza,2017-02-21T00:00:00Z,NA,1050,500,1550,2017,NA,NA,2,21
EA,Merluza,2017-02-21T00:00:00Z,NA,770,350,1120,2017,NA,NA,2,21
EA,Merluza,2017-02-15T00:00:00Z,NA,1750,1200,2950,2017,NA,NA,2,15
EA,Merluza,2017-02-16T00:00:00Z,NA,560,400,960,2017,NA,NA,2,16
EA,Merluza,2017-02-16T00:00:00Z,NA,420,300,720,2017,NA,NA,2,16
EA,Merluza,2017-02-18T00:00:00Z,NA,140,100,240,2017,NA,NA,2,18
EA,Merluza,2017-02-19T00:00:00Z,NA,770,450,1220,2017,NA,NA,2,19
EA,Merluza,2017-02-19T00:00:00Z,NA,1120,600,1720,2017,NA,NA,2,19
EA,Merluza,2017-02-20T00:00:00Z,NA,560,450,1010,2017,NA,NA,2,20
EA,Merluza,2017-02-20T00:00:00Z,NA,910,500,1410,2017,NA,NA,2,20
EA,Merluza,2017-03-14T00:00:00Z,NA,560,300,860,2017,NA,NA,3,14
EA,Merluza,2017-03-15T00:00:00Z,NA,280,160,440,2017,NA,NA,3,15
EA,Merluza,2017-03-15T00:00:00Z,NA,420,220,640,2017,NA,NA,3,15
EA,Merluza,2017-03-11T00:00:00Z,NA,420,170,590,2017,NA,NA,3,11
EA,Merluza,2017-03-11T00:00:00Z,NA,490,200,690,2017,NA,NA,3,11
EA,Merluza,2017-03-12T00:00:00Z,NA,280,150,430,2017,NA,NA,3,12
EA,Merluza,2017-03-12T00:00:00Z,NA,240,140,380,2017,NA,NA,3,12
EA,Merluza,2017-03-12T00:00:00Z,NA,420,220,640,2017,NA,NA,3,12
EA,Merluza,2017-03-13T00:00:00Z,NA,910,400,1310,2017,NA,NA,3,13
EA,Merluza,2017-03-13T00:00:00Z,NA,560,300,860,2017,NA,NA,3,13
EA,Merluza,2017-03-14T00:00:00Z,NA,280,160,440,2017,NA,NA,3,14
DM,Merluza,2018-01-25T00:00:00Z,DM122018,70,0,70,2018,1,2,1,25
DM,Merluza,2018-01-25T00:00:00Z,DM132018,30,6,36,2018,1,3,1,25
DM,Merluza,2018-01-26T00:00:00Z,DM142018,350,NA,350,2018,1,4,1,26
DM,Merluza,2018-01-26T00:00:00Z,DM152018,425,NA,425,2018,1,5,1,26
DM,Merluza,2018-02-21T00:00:00Z,DM2112018,1200,NA,1200,2018,2,11,2,21
DM,Merluza,2018-02-21T00:00:00Z,DM2122018,480,NA,480,2018,2,12,2,21
DM,Merluza,2018-02-22T00:00:00Z,DM2132018,810,NA,810,2018,2,13,2,22
DM,Merluza,2018-02-22T00:00:00Z,DM2142018,420,70,490,2018,2,14,2,22
DM,Merluza,2018-02-23T00:00:00Z,DM2152018,1680,80,1760,2018,2,15,2,23
DM,Merluza,2018-02-23T00:00:00Z,DM2162018,1080,130,1210,2018,2,16,2,23
DM,Merluza,2018-02-23T00:00:00Z,DM2172018,780,NA,780,2018,2,17,2,23
DM,Merluza,2018-02-25T00:00:00Z,DM2182018,810,NA,810,2018,2,18,2,25
DM,Merluza,2018-02-18T00:00:00Z,DM282018,660,200,860,2018,2,8,2,18
DM,Merluza,2018-02-18T00:00:00Z,DM292018,960,200,1160,2018,2,9,2,18
JS,Merluza,2018-02-22T00:00:00Z,JS312018,60,25,85,2018,3,1,2,22
JS,Merluza,2018-02-23T00:00:00Z,JS322018,300,20,320,2018,3,2,2,23
JS,Merluza,2018-02-23T00:00:00Z,JS332018,2940,240,3180,2018,3,3,2,23
JS,Merluza,2018-02-23T00:00:00Z,JS342018,1260,300,1560,2018,3,4,2,23
JS,Merluza,2018-02-25T00:00:00Z,JS352018,810,120,930,2018,3,5,2,25
JS,Merluza,2018-02-26T00:00:00Z,JS362018,960,240,1200,2018,3,6,2,26
OA,Merluza,2018-01-25T00:00:00Z,OA112018,555,100,655,2018,1,1,1,25
OA,Merluza,2018-01-25T00:00:00Z,OA122018,275,80,355,2018,1,2,1,25
OA,Merluza,2018-01-26T00:00:00Z,OA132018,220,40,260,2018,1,3,1,26
DM,Merluza,2018-03-21T00:00:00Z,DM512018,250,20,270,2018,5,1,3,21
DM,Merluza,2018-03-21T00:00:00Z,DM522018,900,250,1150,2018,5,2,3,21
DM,Merluza,2018-03-21T00:00:00Z,DM532018,270,40,310,2018,5,3,3,21
DM,Merluza,2018-03-22T00:00:00Z,DM542018,480,30,510,2018,5,4,3,22
DM,Merluza,2018-03-22T00:00:00Z,DM552018,240,30,270,2018,5,5,3,22
DM,Merluza,2018-03-23T00:00:00Z,DM562018,540,60,600,2018,5,6,3,23
DM,Merluza,2018-03-23T00:00:00Z,DM572018,480,30,510,2018,5,7,3,23
DM,Merluza,2018-03-24T00:00:00Z,DM582018,960,120,1080,2018,5,8,3,24
DM,Merluza,2018-03-25T00:00:00Z,DM592018,1220,300,1520,2018,5,9,3,25
DM,Merluza,2018-03-25T00:00:00Z,DM5102018,600,120,720,2018,5,10,3,25
DM,Merluza,2018-03-26T00:00:00Z,DM5112018,960,90,1050,2018,5,11,3,26
DM,Merluza,2018-03-26T00:00:00Z,DM5122018,1380,200,1580,2018,5,12,3,26
FM,Merluza,2018-03-24T00:00:00Z,FM3192018,1000,300,1300,2018,3,19,3,24
FM,Merluza,2018-03-24T00:00:00Z,FM3202018,1320,300,1620,2018,3,20,3,24
FM,Merluza,2018-03-25T00:00:00Z,FM3212018,120,50,170,2018,3,21,3,25
FM,Merluza,2018-03-25T00:00:00Z,FM3222018,1680,200,1880,2018,3,22,3,25
FM,Merluza,2018-03-25T00:00:00Z,FM2232018,520,400,920,2018,3,23,3,25
OA,Merluza,2018-03-24T00:00:00Z,OA472018,460,80,540,2018,4,7,3,24
OA,Merluza,2018-03-24T00:00:00Z,OA482018,1380,220,1600,2018,4,8,3,24
OA,Merluza,2018-03-25T00:00:00Z,OA492018,1500,360,1860,2018,4,9,3,25
OA,Merluza,2018-03-25T00:00:00Z,OA4102018,780,120,900,2018,4,10,3,25
DM,Merluza,2018-02-14T00:00:00Z,DM212018,480,100,580,2018,2,1,2,14
DM,Merluza,2018-02-14T00:00:00Z,DM222018,360,100,460,2018,2,2,2,14
DM,Merluza,2018-03-08T00:00:00Z,DM3102018,1260,400,1660,2018,3,10,3,8
DM,Merluza,2018-03-08T00:00:00Z,DM3112018,1140,200,1340,2018,3,11,3,8
DM,Merluza,2018-03-06T00:00:00Z,DM372018,720,NA,720,2018,3,7,3,6
DM,Merluza,2018-03-07T00:00:00Z,DM382018,2400,400,2800,2018,3,8,3,7
DM,Merluza,2018-03-07T00:00:00Z,DM392018,1260,300,1560,2018,3,9,3,7
FM,Merluza,2018-02-14T00:00:00Z,FM1102018,480,70,550,2018,1,10,2,14
FM,Merluza,2018-02-14T00:00:00Z,FM1112018,280,100,380,2018,1,11,2,14
FM,Merluza,2018-02-09T00:00:00Z,FM112018,480,150,630,2018,1,1,2,9
FM,Merluza,2018-02-15T00:00:00Z,FM1122018,195,70,265,2018,1,12,2,15
FM,Merluza,2018-02-15T00:00:00Z,FM1132018,2595,1500,4095,2018,1,13,2,15
FM,Merluza,2018-02-09T00:00:00Z,FM122018,560,140,700,2018,1,2,2,9
FM,Merluza,2018-02-10T00:00:00Z,FM132018,80,30,110,2018,1,3,2,10
FM,Merluza,2018-02-10T00:00:00Z,FM142018,2460,150,2610,2018,1,4,2,10
FM,Merluza,2018-02-12T00:00:00Z,FM152018,900,200,1100,2018,1,5,2,12
FM,Merluza,2018-02-13T00:00:00Z,FM162018,1980,300,2280,2018,1,6,2,13
FM,Merluza,2018-02-13T00:00:00Z,FM172018,1560,500,2060,2018,1,7,2,13
FM,Merluza,2018-02-13T00:00:00Z,FM182018,180,20,200,2018,1,8,2,13
FM,Merluza,2018-02-14T00:00:00Z,FM192018,840,300,1140,2018,1,9,2,14
FM,Merluza,2018-03-09T00:00:00Z,FM282018,660,300,960,2018,2,8,3,9
FM,Merluza,2018-03-09T00:00:00Z,FM292018,3180,700,3880,2018,2,9,3,9
FM,Merluza,2018-03-10T00:00:00Z,FM2102018,1620,250,1870,2018,2,10,3,10
FM,Merluza,2018-03-10T00:00:00Z,FM2112018,1320,200,1520,2018,2,11,3,10
FM,Merluza,2018-03-10T00:00:00Z,FM2122018,744,400,1144,2018,2,12,3,10
FM,Merluza,2018-03-11T00:00:00Z,FM2132018,540,200,740,2018,2,13,3,11
FM,Merluza,2018-03-11T00:00:00Z,FM2142018,280,600,880,2018,2,14,3,11
FM,Merluza,2018-03-12T00:00:00Z,FM2152018,1080,500,1580,2018,2,15,3,12
FM,Merluza,2018-03-12T00:00:00Z,FM2162018,300,1200,1500,2018,2,16,3,12
FM,Merluza,2018-03-13T00:00:00Z,FM2172018,600,100,700,2018,2,17,3,13
FM,Merluza,2018-03-13T00:00:00Z,FM2182018,132,50,182,2018,2,18,3,13
JS,Merluza,2018-02-06T00:00:00Z,JS1102018,420,6,426,2018,1,10,2,6
JS,Merluza,2018-02-03T00:00:00Z,JS112018,200,4,204,2018,1,1,2,3
JS,Merluza,2018-02-03T00:00:00Z,JS122018,1500,240,1740,2018,1,2,2,3
JS,Merluza,2018-02-04T00:00:00Z,JS132018,1080,60,1140,2018,1,3,2,4
JS,Merluza,2018-02-04T00:00:00Z,JS142018,1920,240,2160,2018,1,4,2,4
JS,Merluza,2018-02-05T00:00:00Z,JS152018,2460,150,2610,2018,1,5,2,5
JS,Merluza,2018-02-05T00:00:00Z,JS162018,2340,120,2460,2018,1,6,2,5
JS,Merluza,2018-02-05T00:00:00Z,JS172018,1440,180,1620,2018,1,7,2,5
JS,Merluza,2018-02-06T00:00:00Z,JS182018,1440,120,1560,2018,1,8,2,6
JS,Merluza,2018-02-06T00:00:00Z,JS192018,1320,30,1350,2018,1,9,2,6
DM,Merluza,2018-01-30T00:00:00Z,DM1102018,1420,NA,1420,2018,1,10,1,30
DM,Merluza,2018-01-31T00:00:00Z,DM1112018,90,NA,90,2018,1,11,1,31
DM,Merluza,2018-01-31T00:00:00Z,DM1122018,1440,150,1590,2018,1,12,1,31
DM,Merluza,2018-01-31T00:00:00Z,DM1132018,480,150,630,2018,1,13,1,31
DM,Merluza,2018-02-01T00:00:00Z,DM1142018,6900,NA,6900,2018,1,14,2,1
DM,Merluza,2018-02-01T00:00:00Z,DM1152018,300,80,380,2018,1,15,2,1
DM,Merluza,2018-02-02T00:00:00Z,DM1162018,3800,80,3880,2018,1,16,2,2
DM,Merluza,2018-02-02T00:00:00Z,DM1172018,350,NA,350,2018,1,17,2,2
DM,Merluza,2018-01-30T00:00:00Z,DM192018,3180,100,3280,2018,1,9,1,30
DM,Merluza,2018-03-01T00:00:00Z,DM312018,900,NA,900,2018,3,1,3,1
DM,Merluza,2018-03-01T00:00:00Z,DM322018,960,70,1030,2018,3,2,3,1
DM,Merluza,2018-03-02T00:00:00Z,DM332018,690,100,790,2018,3,3,3,2
DM,Merluza,2018-03-02T00:00:00Z,DM342018,678,NA,678,2018,3,4,3,2
DM,Merluza,2018-03-03T00:00:00Z,DM352018,1380,100,1480,2018,3,5,3,3
DM,Merluza,2018-03-03T00:00:00Z,DM362018,720,NA,720,2018,3,6,3,3
FM,Merluza,2018-03-03T00:00:00Z,FM212018,15,40,55,2018,2,1,3,3
FM,Merluza,2018-03-06T00:00:00Z,FM222018,2640,800,3440,2018,2,2,3,6
